id,location_id,terminal_id,vehicle_type_id,price
406,68,4,1,0
407,68,5,1,0
408,68,6,1,0
409,69,1,1,325
410,69,2,1,800
411,69,3,1,0
412,69,4,1,135
413,69,5,1,0
414,69,6,1,0
415,70,1,1,320
416,70,2,1,850
417,70,3,1,0
418,70,4,1,375
419,70,5,1,0
420,70,6,1,0
421,71,1,1,150
422,71,2,1,0
423,71,3,1,0
424,71,4,1,375
425,71,5,1,0
426,71,6,1,0
427,72,1,1,0
428,72,2,1,400
429,72,3,1,0
430,72,4,1,0
431,72,5,1,0
432,72,6,1,0
433,73,1,1,400
434,73,2,1,450
435,73,3,1,0
436,73,4,1,0
437,73,5,1,0
438,73,6,1,0
439,74,1,1,415
440,74,2,1,450
441,74,3,1,0
442,74,4,1,0
443,74,5,1,0
444,74,6,1,0
445,75,1,1,315
446,75,2,1,430
447,75,3,1,0
448,75,4,1,0
449,75,5,1,0
450,75,6,1,0
451,76,1,1,0
452,76,2,1,225
453,76,3,1,0
454,76,4,1,0
455,76,5,1,0
456,76,6,1,0
457,77,1,1,0
458,77,2,1,225
459,77,3,1,0
460,77,4,1,0
461,77,5,1,0
462,77,6,1,0
463,78,1,1,0
464,78,2,1,340
465,78,3,1,0
466,78,4,1,0
467,78,5,1,0
468,78,6,1,0
469,79,1,1,535
470,79,2,1,800
471,79,3,1,0
472,79,4,1,550
473,79,5,1,0
474,79,6,1,0
475,80,1,1,0
476,80,2,1,475
477,80,3,1,0
478,80,4,1,0
479,80,5,1,0
480,80,6,1,0
481,81,1,1,0
482,81,2,1,375
483,81,3,1,0
484,81,4,1,0
485,81,5,1,0
486,81,6,1,0
487,82,1,1,0
488,82,2,1,375
489,82,3,1,0
490,82,4,1,0
491,82,5,1,0
492,82,6,1,0
493,83,1,1,425
494,83,2,1,0
495,83,3,1,0
496,83,4,1,650
497,83,5,1,0
498,83,6,1,0
499,84,1,1,0
500,84,2,1,175
501,84,3,1,0
502,84,4,1,0
503,84,5,1,0
504,84,6,1,0
505,85,1,1,325
506,85,2,1,800
507,85,3,1,0
508,85,4,1,120
509,85,5,1,0
510,85,6,1,0
511,86,1,1,800
512,86,2,1,950
513,86,3,1,0
514,86,4,1,0
515,86,5,1,0
516,86,6,1,0
517,87,1,1,650
518,87,2,1,525
519,87,3,1,0
520,87,4,1,0
521,87,5,1,0
522,87,6,1,0
523,88,1,1,410
524,88,2,1,500
525,88,3,1,0
526,88,4,1,0
527,88,5,1,0
528,88,6,1,0
529,89,1,1,690
530,89,2,1,0
531,89,3,1,0
532,89,4,1,675
533,89,5,1,0
534,89,6,1,0
535,90,1,1,800
536,90,2,1,550
537,90,3,1,0
538,90,4,1,0
539,90,5,1,0
540,90,6,1,0
541,91,1,1,250
542,91,2,1,0
543,91,3,1,0
544,91,4,1,300
545,91,5,1,0
546,91,6,1,0
547,92,1,1,750
548,92,2,1,675
549,92,3,1,0
550,92,4,1,0
551,92,5,1,0
552,92,6,1,0
553,93,1,1,650
554,93,2,1,0
555,93,3,1,0
556,93,4,1,550
557,93,5,1,0
558,93,6,1,0
559,94,1,1,1200
560,94,2,1,1000
561,94,3,1,0
562,94,4,1,0
563,94,5,1,0
564,94,6,1,0
565,95,1,1,450
566,95,2,1,575
567,95,3,1,0
568,95,4,1,550
569,95,5,1,0
570,95,6,1,0
571,96,1,1,800
572,96,2,1,575
573,96,3,1,0
574,96,4,1,0
575,96,5,1,0
576,96,6,1,0
577,97,1,1,535
578,97,2,1,500
579,97,3,1,0
580,97,4,1,0
581,97,5,1,0
582,97,6,1,0
583,98,1,1,535
584,98,2,1,500
585,98,3,1,0
586,98,4,1,0
587,98,5,1,0
588,98,6,1,0
589,99,1,1,1000
590,99,2,1,700
591,99,3,1,0
592,99,4,1,0
593,99,5,1,0
594,99,6,1,0
595,100,1,1,650
596,100,2,1,900
597,100,3,1,0
598,100,4,1,0
599,100,5,1,0
600,100,6,1,0
601,101,1,1,525
602,101,2,1,0
603,101,3,1,0
604,101,4,1,580
605,101,5,1,0
606,101,6,1,0
607,102,1,1,0
608,102,2,1,450
609,102,3,1,0
610,102,4,1,0
611,102,5,1,0
612,102,6,1,0
613,103,1,1,300
614,103,2,1,0
615,103,3,1,0
616,103,4,1,250
617,103,5,1,0
618,103,6,1,0
619,104,1,1,430
620,104,2,1,600
621,104,3,1,0
622,104,4,1,500
623,104,5,1,0
624,104,6,1,0
625,105,1,1,475
626,105,2,1,0
627,105,3,1,0
628,105,4,1,500
629,105,5,1,0
630,105,6,1,0
631,106,1,1,750
632,106,2,1,880
633,106,3,1,0
634,106,4,1,0
635,106,5,1,0
636,106,6,1,0
637,107,1,1,310
638,107,2,1,900
639,107,3,1,0
640,107,4,1,250
641,107,5,1,0
642,107,6,1,0
643,108,1,1,0
644,108,2,1,625
645,108,3,1,0
646,108,4,1,0
647,108,5,1,0
648,108,6,1,0
649,109,1,1,0
650,109,2,1,450
651,109,3,1,0
652,109,4,1,0
653,109,5,1,0
654,109,6,1,0
655,110,1,1,0
656,110,2,1,450
657,110,3,1,0
658,110,4,1,0
659,110,5,1,0
660,110,6,1,0
661,111,1,1,0
662,111,2,1,0
663,111,3,1,0
664,111,4,1,515
665,111,5,1,0
666,111,6,1,0
667,112,1,1,625
668,112,2,1,630
669,112,3,1,0
670,112,4,1,0
671,112,5,1,0
672,112,6,1,0
673,113,1,1,550
674,113,2,1,0
675,113,3,1,0
676,113,4,1,0
